n,size,x,y,z,vx,vy,vz,t0,st,time_end,xfinal,yfinal,zfinal,vxfinal,vyfinal,vzfinal,v_mag,target
550,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.034335640220074,-0.0915071362190029,-0.0353111063501906,0.0,1,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10391999999999994,1
551,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0343620725835998,-0.0915775805117042,-0.0353382896499213,0.0,2,105.51608005787074,408.8922692,12.35424838,-7.890290179999999,-0.1193465932,0.07518331924,0.1200830909,0.1039999999999999,0
552,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0343885049471257,-0.0916480248044055,-0.0353654729496521,0.0,1,1832.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10407999999999994,1
553,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0344149373106515,-0.0917184690971068,-0.0353926562493828,0.0,2,129.72741802083397,370.2819725,167.5412383,24.05212865,-0.09218857414,0.05945548375,-0.05133288262,0.10415999999999992,0
554,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0344413696741774,-0.0917889133898081,-0.0354198395491135,0.0,2,27.07521200231518,-371.9125651,-153.0100273,-50.56288193,0.1199215498,0.0017645416629999,0.01327073419,0.10423999999999993,0
555,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0344678020377032,-0.0918593576825094,-0.0354470228488442,0.0,2,57.47105228009323,323.5304238,-192.9152569,-114.9693975,-0.0322564510399999,0.1078105365,0.0590510088,0.10431999999999989,0
556,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0344942344012291,-0.0919298019752108,-0.0354742061485749,0.0,1,347.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10439999999999999,1
557,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0345206667647549,-0.0920002462679121,-0.0355013894483056,0.0,1,204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10447999999999996,1
558,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0345470991282808,-0.0920706905606134,-0.0355285727480363,0.0,3,63.489517557870734,-9.533792461,47.54635769000001,-47.13471451,0.07495731364,-0.009495187348,0.06615143507,0.10455999999999997,0
559,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0345735314918066,-0.0921411348533147,-0.035555756047767,0.0,1,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10463999999999994,1
560,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0345999638553325,-0.092211579146016,-0.0355829393474977,0.0,3,46.65933237268555,-27.67583362,65.38374562,-31.72488653,0.07356728489,-0.02745166303,0.04013918651,0.10471999999999995,0
561,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0346263962188583,-0.0922820234387173,-0.0356101226472284,0.0,1,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10479999999999992,1
562,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0346528285823841,-0.0923524677314186,-0.0356373059469591,0.0,2,75.2887756597223,184.3278326,-356.18783060000004,-21.80309873,0.0172435675,0.1755471678,-0.04091339879,0.10487999999999989,0
563,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.03467926094591,-0.0924229120241199,-0.0356644892466898,0.0,3,204.21181038194507,-69.86656755,49.66552688,11.59968151,0.1645986922,0.009938391656,-0.04198180389,0.10495999999999989,0
564,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0347056933094358,-0.0924933563168212,-0.0356916725464206,0.0,2,97.81512982638895,-112.8332365,-377.8101402,53.96315428,0.1373798514,0.1454528551,-0.01569523588,0.1050399999999999,0
565,1.0,-4.263843798802505,-83.02474458389604,-10.34086723649182,0.0347321256729617,-0.0925638006095226,-0.0357188558461513,0.0,1,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10511999999999999,1
